Title,Rating,Review,Release Year,Review Date,Id,imdbID
Casino Royale,9.1,"Very good Acting overall (Really liked the Acting from Daniel Craig, Mads Mikkelsen, Eva Green, and Judi Dench as I thought they were great), Great Direction, Great Screenplay (Both for its wit and its dialogue overall), Very Good story (Some Major plot jumps though that I was not a fan off), Action scenes were well choreographed, The pacing of the movie was fine but I felt that the movie was really rushed in the final 1/3 because it spent too much time on the first half development/exposition that the ending was very rushed and jumped around. Overall, a great exposition story for the origins of bond and set up a great bond portrayal by the best bond, Daniel Craig.",2006,09/09/2020,162,tt0381061
Monty Python's Life of Brian,7.9,"Pretty Funny Movie (Some of the jokes were well thought out but some of them were pretty cheap imo but were still funny), Decent story and satire on Christianity and socialism, Funny acting by some of the characters, A movie that uses its short runtime very well as pacing is very good. Overall, a film that uses its R rating to have a lot of boundary pushing comedy, but one where the jokes are kinda cheap (Not a outright recommendation but still enjoyed watching it).",1979,09/09/2020,163,tt0079470
Tenet,8.6,"Good Direction (Incredible during action scenes and coordinating stunts and introducing scenes but poor during moments of conducting dialogue and the more personal scenes), decent acting (Very good from Robert Pattinson, Pretty good from John David Washington (Very emotionless in the first half though), Kenneth Branagh was pretty good to good but over-the-top at times, and the rest of the cast was bad to pretty bad), Great to Incredible Story and Idea (Though I think the middle chunk of the movie was kinda a waste, and the ideas were not executed that well), Pretty Bad Screenplay (The dialogue was very stiff and not well executed to show what the ideas of the movie were), Great Cinematography, Incredible Score, Great to Incredible Effects, Bad Sound Mixing but Great Sound editing, Incredible Film Editing to coordinate backwards and forwards movement, The movie is very confusing in the first half but make more sense and come full circle once the halfway point is met, All the action scenes are incredible intense and pulled off very well in terms of the suspense they create (Especially the first scene and the climax), A movie that makes more sense the more you think about it, The pacing was way too fast and this played a major issue in presenting ideas and having dialogue cause it made things very unnatural and made things very confusing, A lot of the concepts on time did not make any sense and time travel is just a subject in film to stay away from overall (Even if you are Christopher Nolan). Overall, this was Christopher Nolan's worst movie (Hard for me to say it as it is) given the fact he is a seasoned director at this point and could not execute a movie of this magnitude off, but it is still a Good movie and would still recommend people to watch.",2020,09/15/2020,164,tt6723592
Cuties,1.9,"Poor Direction, Very boring screenplay (From a translation perspective), the story had a decent idea but the plot points were very wtf and ultimately not necessary, very poor acting (Especially for the controversial scenes), The lack of score makes the movie extremely emotionless and the scenes seem very dull, The movie isn't as controversial as people are saying it is although the final 30 mins definitely could be argued against this because it was very cringe/hard to watch, It tries to show the evil in child sexualization but does it so poorly that it ultimately promotes it. Very bad movie overall and very boring to watch.",2020,09/28/2020,165,tt9196192
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,8.0,"Continuation of a beloved classic and one of, if not the, greatest comedies of all time. In its sequel, Borat does not have as much of the charm as its original movie did. Very funny at times but very mild or bland or disgusting at others, story was coherent as very politically brown nose against the right, the movie is ultimately propaganda to vote. Sacha Baron Cohen was great, though lost a step from her previous version, Maria Bakalova was good acting but was no where near the level of sidekick as Azamt, Good but safe story, Very good but safe screenplay, Good direction (But misleading editing). Overall, This movie was a good look back into one of the greatest movies of all time but plays it safe and ultimately boils down into a movie urging the audience to vote out the right (making it a very topical movie at the present but something that will not make it a classic like its predecessor). This movie really didn't have to be made and looks like a cash grab on a retired character.",2020,10/29/2020,166,tt13143964
The Social Dilemma,7.3,"Great Topics that are complex but presented in a very simple manner that makes it easy to digest, Expert testimony of the documentary is very good as it brings in a lot of industry experience and credibility to persuade the audience to change how they view social media and technology, I felt they brushed on topics they should've discussed more (Like mental health), the skits were very poorly written and acted and they really drew away from the message of the documentary as they were very unrealistic, the message of the documentary was a little too pessimistic of what may actually happen. Overall, thought the ideas were very well presented, the skits and ending message really hold this documentary back from making a strong impact on the relationship between social media and society.",2020,11/22/2020,167,tt11464826
Fargo,8.6,"Very Good Direction, Good Acting (Great from Frances McDormand, Very Good from William H. Macy, Good to Very Good from Steve Buscemi, Pretty Good from the rest of the cast (Good from the remaining main cast, and decent from the supporting cast and extras)), Great Story (though is very surface level in its imagery and symbolism), Great Screenplay (laced with witty, quirky midwestern dialogue (as seen by the intentional awkward pauses during the Minnesotan conversations)), Great to Incredible Cinematography (Especially the distant panning shots that show the contrast between the main images and the snow), Pacing is Great for the most part given its short runtime (but is incredibly rushed towards the end (particularly the final 15-20 minutes)). Overall, the Coen brothers give a prime example of why they are some of the best screenwriters in Hollywood as they make a short runtime filled with many memorable, funny moments (even though it may not be as incredible as their other movies), but it does falter towards the end as it is incredibly rushed as it feels like it could've used 15 more minutes to keep up to the pace it had for the majority of the movie.",1996,11/22/2020,168,tt0116282
A Clockwork Orange,9.2,"Very Good to Great Direction, Very Good Acting (Great Acting from Malcolm McDowell, Good from the rest of the cast), Incredible Story (Very true to the source material), Great Screenplay (Very hard to understand and watch at first as it is very Shakespearean due to the fictional Nadsat language they use, but once you overcome the first 30 mins, the screenplay gradually increases to where it is incredible towards the end), Great Score/Soundtrack (Especially with the use of classical music along with its iconic original score), Incredible Cinematography (Very Kubrick in style), Incredible Production Design, Pacing is great ( broken up into 3 distinct parts (like the book) that gradually increases towards the climax), climax is very intense and keeps the audience in their seat. Overall, a movie that is very hard to watch in the first 1/3 (both because of imagery, understanding the dialogue, plot, and pace), but once you get past that point, it is an great to incredible piece of art that shows the line between psychological treatment and free will as well as the ability for the redemption of the lost.",1971,11/27/2020,169,tt0066921
Boyz n the Hood,8.5,"Good to Very Good Direction, Good Acting (The cast overall works well with each other (especially the main cast)), Great Story (Emotional and makes you feel for the character's struggles), Very Good Screenplay, Pretty Good Score (Gives it a very 80s Law and Order SVU vibes), Good Pacing (Keeps a constant steady pace). Overall, a Good movie to show the struggles of living in South Central LA and how those who dream to get out may not even get the chance.",1991,11/27/2020,170,tt0101507
Full Metal Jacket,8.6,"Great Direction, Good Acting (Good from Matthew Modine, Good from Vincent D'Onofrio, Very Good from Lee Ermey, Pretty Good from the rest of the cast (Most were pretty good but some were mediocre)), Good to Very Good Story (Very good in the boot camp (first 40%) and Good during the Vietnam War parts), Great Screenplay (Deviates from the source material but is still very whitty and bends the line between comical and serious very well), Cinematography (Very Kubrick in style but still is a bit different as it still has similar tones to traditional war movies), Pacing was generally very slow but consistent to Kubrick style pacing, The build to the climax is not that well done as there are many jumps in the narrative and the resolution does not really exist, Very well choreography war scenes. Overall, a good movie that shows the horrors of war and the effects it has on soldiers, but is very shallow in its meaning and message when compared to Kubrick's other films.",1987,12/23/2020,171,tt0093058
Whiplash,9.7,"Incredible Direction, Very Good to Great Acting (Great from Miles Teller, Brilliant from J. K. Simmons, Good from the rest of the cast), Brilliant Story, Brilliant Screenplay, Incredible Score, Great Cinematography (Brilliant use of lighting to establish mood and themes), Incredible Editing, Pacing is Great to Incredible as it gives it a very artsy feel that slowly builds to a brilliant climax, climax is brilliant as it is filled with symbolism till the very last shot as JKs mouth is covered showing his recognition is all that Andrew needed to think he is one of the greats. Overall, one of, if not the best, movies to show the obsession of an artist that wants to make it to the top, stopping at nothing to get there, as they are pushed past their mental breaking point to achieve their goal.",2014,12/24/2020,172,tt2582802
Talladega Nights: The Ballad of Ricky Bobby,8.0,"Pretty Good Direction, Pretty Good Acting (A surprisingly studded all star cast where each actor plays their role very well, but there are issues (Cohen's accent was very annoying and characters, like Amy Adams, were overacting at times)), Very Good Screenplay (Very funny movie (Stupid funny but funny); Most jokes hit but when they miss its pretty eh; very Will Ferrell in its joke telling in that he breaks the pace or adds on to a joke to make it funnier (This either hits or can be annoying at times)), Pretty Good Sound Editing/Mixing, Pretty Good Editing, Pacing was intentionally fast (which leaves no room for development), the build to the climax really is ok but definitely could've been better. Overall, a fun movie to watch for leisure that has many jokes that hit very well and are very quotable, even though it may be stupid funny.",2006,12/26/2020,173,tt0415306
Elf,8.5,"Very Good Direction (Especially for the lengths Jon Favreau went to limit the use of CGI), Good Acting (Very Good from Will Ferrell, Pretty Good from the rest of the cast (Everyone plays their part well)), Very Good/Iconic Story (Although it is filled with cliches and is very safe), Very Good Screenplay, Great Cinematography (Uses force perspective very well (even though it can lead to inconsistencies at times)), Very Good Editing, Great Visual Effects (Especially for the stop motion parts of the film to give is a very classic Christmas movie feel), Pacing was pretty good overall, Build to climax is pretty abrupt but the overall ending is pretty intense for a Christmas movie and Favreau pulls it off very well. Overall, an iconic christmas movie that is filled with many emotions, makes you root for the characters, and makes you remember the spirit of christmas, even though the movie is very safe, formulaic, cliche, and plays its cards very close to its chest (something I can't really blame given its a family Christmas movie).",2003,12/26/2020,174,tt0319343
A Christmas Story,7.3,"Pretty Good Direction, Pretty Good Acting (from the entire cast), Decent to Pretty Good Story (Pretty funny but is extremely slow in its pacing and is longer than it needs to be), Decent Screenplay (With ""You'll shoot your eye out kid"" being an iconic quote in all of cinema), Plot Structure is on the spectrum as the build to the climax is throughout the whole movie and pulls it off decently well but the movie needed to end after the last use of the ""iconic line"" because all the scenes after that are pretty pointless and make the movie feel like its dragging more than it should, Pacing is very slow as the movie seems incredibly long despite the fact that it is surprisingly only a little over an hour and a half, Narration made the story a lot slower than it needed to be and kinda dragged away from what was being told. Overall, a movie that is kinda overrated, has not aged that well compared to other christmas movies, and has incredible pacing and length issues, but is still an entertaining watch for the family during Christmas time..",1983,12/26/2020,175,tt0085334
Soul,9.2,"Great Direction, Good Voice Acting (From the cast as a whole (with Tina Fay being a standout)), Great Story (Though pretty predictable, especially the ending), Great Screenplay, Very Good Score, Incredible Animation (The best animation from Pixar by far), Pacing was Decent, Build to climax is good and the climax was very well done, the themes and concepts were very thought provoking and were very well executed (especially for a kids movie). Overall, a great Pixar movie (probably mid-tier) that is filled with incredible animation and thought-provoking themes, even though it has a predictable plot.",2020,01/04/2021,176,tt2948372
"Monsters, Inc.",9.7,"Incredible Direction, Incredible Voice Acting (Brilliant from Billy Crystal (May have the best voice acting performance of all time as Mike), Incredible from the rest of the cast), Brilliant Story (Especially character writing), Incredible Screenplay (Filled with emotions and wit/humor), Great Score, Plot Structure is great as all the scenes add to the plot as there is nothing wasted, Pacing is Great (Given its short runtime), Build to the climax is very evident and the climatic sequence is executed very well, Only drawback for the movie is that it is too short. Overall, the best Pixar movie (a little biased) that shows the loving dynamic of a father-daughter relationship through an animation filled adventure; lives up to how much I loved it as a kid and more, especially Mike Wazowski.",2001,01/09/2021,177,tt0198781
The Departed,9.4,"Incredible Direction, Incredible Acting (From the cast as a whole (Standouts being Leonardo DiCaprio (in his 2nd best role behind Wolf), Mark Walburg, and Jack Nicholson (Even though its pretty over-the-top))), Incredible Story (Filled with symbols of the dark nature of the subject manner (the quest of the rat)), Incredible Screenplay (Mixes humor and trauma extremely effectively), Decent Cinematography (Not a huge fan of the still cuts edited with the shifting cinematography), Decent Editing (See cinematography), Plot Structure was good for the most part (but the beginning was a bit hard to understand (but can get past this after the first 20-30 mins)), Pacing was generally good but there are some slower parts meant for character development (not a huge problem); The movie was a bit on the longer side but there really isn't that many scenes that could be cut (so it gets a pass), Build to the climax is incredible with the ending being extremely suspenseful and unpredictable. Overall, a movie that is a must watch, even with its small faults, as it uses Boston wit and humor laced into a story and screenplay to show the effects trauma and crime can have on people stuck in the rat race as the push through through what is ethical, in what is a Martin Scorsese masterpiece.",2006,01/14/2021,178,tt0407887
First Blood,8.5,"Good Direction, Pretty Good Acting (Great from Sylvester Stallone (though I'm biased), Pretty Good from Richard Crenna, Decent from the rest of the cast), Very Good Story (Actually handles PTSD from Vietnam pretty well), Minimal Screenplay (Works to show how traumatized Rambo is), Pretty Bad Sound Editing/Mixing (A bit off (but thats the 80s for yah)), Pacing is very fast as it is fueled by its action (with a very short runtime that would have definitely benefited from 15-20 minutes of character building or exposition), Build to the climax was pretty good with the overall climax executed very well as we see all the sides of Rambo, Action is what keeps the movie going as Rambo constantly builds up his arsenal with the more kills he gets (but it is important to note that many of the actions that Rambo did were extremely unnecessary and escalated the situation a lot more than it needed to be. Overall, a movie that is a fun action movie to watch as Sly gives off one of his iconic performances to create a signature character that is a war machine suffering from PTSD that is trying his best to just to live in a post-Vietnam, anti-war society.",1982,01/14/2021,179,tt0083944
Reservoir Dogs,8.6,"Good Direction, Good Acting (By the whole cast (With Steve Buscemi and Harvey Keitel standing out the most)), Good Story, Great Screenplay (very Tarantino-esque), Pretty Good Editing (Tarantino-esque), Plot Structure is very minimal as the audience is thrown right at the end and they have to put pieces together throughout, Pacing was all over the place given the way the narrative was told (No fault really); very short runtime (which is fine because there is very little plot), There really isn't any climax to build too (No fault given that you start at the very end), The feel and style of the movie has a very similar feel to Usual Suspects (But I liked this one more), A lot of mistakes and misses which shows in Tarantino's first film (Definitely can see his growth throughout his career). Overall, a ""Usual Suspects"" type film that is a good watch with good moments as the audience gets to see a sloppy, amateur filmmaker that is looking to make a name for himself (in what became a great launching point for one of the best filmmakers ever).",1992,01/19/2021,180,tt0105236
No Country for Old Men,9.4,"Incredible Direction, Great to Incredible Acting (Great from Tommy Lee Jones, Brilliant from Javier Bardem, Very Good from Josh Brolin, Very Good from Kelly MacDonald, Very Good from the rest of the cast (Even though they can be dull at times)), Incredible Story (Incredibly true to the source material (Like almost to a tee)), Incredible Screenplay (Extremely metaphorical in both dialogue and actions), Score is very minimal (Stylistic choice), Great Cinematography, Incredible Sound Editing/Mixing (Given the fact the movie relies entirely on sound), Great Editing, Pacing is a very slow steady pace (A slow burn time movie); Uses Runtime very well as every minute of the 2 hours is used effectively, Tone is very monotonous and dull (Kinda a drawback for me), The gorey/violent scenes are extremely detailed and well made. Overall, a movie that is extremely metaphorical in nature about the world moving towards an evil that the old cannot adapt to that is filled with Iconic Dialogue, Great Action moments, and Incredible performances that make the movie a must watch that is incredibly true to the source material, even the though the pace is very slow and the tone is very dull.",2007,01/19/2021,181,tt0477348
American Psycho,7.5,"Decent Direction, Pretty Bad Acting (Good from Christian Bale (Plays the serial killer very well but can be very pretentious at times (which is extremely annoying to watch)), Pretty Good from Willem Dafoe, Pretty Good from Jared Leto, Bad to Pretty Bad from the rest of the cast (annoyingly pretentious)), Very Good to Great Story, Decent Screenplay (But filled with many iconic/memeable lines), Build to the climax happens suddenly as that part of the movie really shows the lapses in reality (leading to the dilemma at the end), The killing scenes were the best parts of the movie as the gore/violence/madness of Patrick Bateman was really displayed; though, the rest of the movie is very pretentious (which makes it end up being very memey when it is trying to be serious). Overall, a decent movie that shows moments of greatness from a future star (Bale and somewhat Leto) as the movie has good moments to watch (like the killing scenes and the overanalyzing from Bateman), but there are a lot of flaws in the movie that make it very hard to watch at times when looking at the greed of wall street from a very surface level, pretentious lense..",2000,01/24/2021,182,tt0144084
The Royal Tenenbaums,8.1,"Good Direction, Good Acting (The cast overall was good (but individual performances were pretty good to decent from how bland they can be)), Good Story, Good Screenplay (but quirky), Good Cinematography (Was Wes Anderson to a Tee from the amount of shots/angle changes), Good Editing, There really was no real plot to movie but themes of overcoming a toxic family dynamic was shown very well. Overall, a pretty good watch that shows how broken pieces of a family can still come together to make a single unit through adversity in what is a prime example of Wes Anderson filmmaking with its quirks and cinematography.",2001,01/24/2021,183,tt0265666
Demon Slayer: Mugen Train,8.4,"Good Direction, Good to Very Good Story, Very anime-esque Screenplay (But did have very emotional points that were carried out very well), Good Score, Incredible Animation/Action Sequences, Pacing was very off considering first half was story and the second half was just an entire fight sequence, The build-up to the end was great but the ending was very anticlimactic/poorly done. Overall, even though I do not watch the show/anime, I thought it was a good movie and is a nice visual/change of pace movie to watch to get people back into theaters.",2020,04/26/2021,184,tt11032374
Rush,8.6,"Good Direction, Good to Very Good Acting (Great from Daniel Brühl, Good from the rest of the cast), Good to Very Good Story (Pretty true to the story), Good Cinematography, Good Sound, Good Editing (Very unique editing sequences that were good at times and very extra at others), The movie felt very short and rushed a lot in terms of the plot (no pun intended). Overall, a good movie that I will compare a lot to Ford v. Ferrari where this movie had a better story and was more serious while the other movie is more of a fun watch with better technicals.",2013,05/11/2021,185,tt1979320
The Dark Knight Rises,9.6,"Great Direction (Incredible Direction at a grand scale but the interpersonal scenes were kinda lacking at times), Very Good Acting (Incredible acting by the main cast (Tom Hardy a huge standout), though the extras/side characters were pretty meh at times), Incredible Story, Great to Incredible Screenplay (though some of the dialogue did feel stiff at times; filled with iconic quotes from Bane and others), Incredible Score, Incredible Cinematography (in Wally Pfister's last movie with Nolan), Incredible Sound, Incredible Editing, Plot Structure was very steady and built very well to the climax, Climax was Brilliant not only for the movie but for the trilogy as a whole, Movie had some of the best points and highlights in the entire trilogy (but there were some scenes that were meh). Overall, one of the best endings for a trilogy that ties a lot of the loose ends together and closes The Dark Knight story in an incredible fashion.",2012,05/11/2021,186,tt1345836
Saw,6.8,"Pretty Bad Direction (Direction for traps and plot elements was good but was horrible besides that (especially with dialogue and interpersonal scenes)), Terrible Acting, Great Story (has very iconic elements to it that are filled with twists and turns that are not expected), Very Bad Screenplay (Though it does had iconic lines and moments at times), Great Score (Iconic score with an iconic theme), Great Production Design (Captures a dark, dirty, and scary environment), The buildup to the climax was gradual and fine but the actual climax really was not carried out well (Though post climax/ending was very well carried out and iconic in showing the twists of the story), The trap scenes were very well executed to show the fear in the characters. Overall, for a movie with such a low budget, the creators were able to develop the most from what they could as they created an iconic story line that is a mainstay in the horror franchise, even though it may not be the best in its presentation..",2004,05/11/2021,187,tt0387564
The Exorcist,8.7,"Great Direction, Great Acting (By the entire cast (Standouts were Miller, Burstyn, and Blair)), Very Good to Great Story, Great Screenplay (Filled with symbolism on Crisis of Faith), Good Score (Iconic Theme but the lack of a score at most parts made the film more boring), Great Editing, Visual Effects (For the time), Great Makeup (For the time), Plot Structure was an issue (the first 30 minutes of the movie were extremely boring and pointless to the story (if this was cut and spread throughout the movie for the allusion of the possession and actual exorcism could make the movie a lot better)), Pacing was completely off cause it was a tale of two movies: first half was extremely boring and slow while the second half was very fast paced and exciting, Climax was extremely intense and very scary as it shows the devil's work in the possession (Something that was very ahead of its time), Many plot holes/lead-ups that are never addressed. Overall, even though the movie does falter a lot in the development of its plot and pacing, The Exorcist is a groundbreaking movie in the horror genre (With its direction, screenplay, and acting) and stands up to be one of the most iconic movies not only in its genre but all time..",1973,05/13/2021,188,tt0070047
Lost in Translation,6.3,"Decent Direction (with its best moments being the conversations between Scarjo and Murray), Good to Very Good Acting (Very Good from Bill Murray, Good to Very Good from Scarlett Johansson, There really wasn't a supporting cast for the movie), Pretty Bad to Decent Story (The story was a decent concept but really nothing happens in this movie), Pretty Bad to Decent Screenplay (The screenplay was meant to be awkward and being 'lost in translation' and it did capture that well, but I also felt that it made the movie very boring and dull because of it), Good Cinematography (For the equipment and budget they had (But could be a bit off at times)), Pacing was constant and slow so nothing to complain, The entire movie was basically just panning shots mixed with close ups of the actors faces plus improv dialogue in conversations; The symbolism and capturing the loneliness of being in a foreign country and finding love when you already have it was not as well captured as people say it is for this movie because I definitely feel that it was not displayed well enough (even if it was subtle). Overall, a movie that is pretty overrated as the movie is basically just shots of Japan that is mixed with good dialogue and scenes between Bill Murray and Scarjo, but in the end falters from its lack of story and very dull presentation (as it fails to capture to true aspects of loneliness).",2003,05/24/2021,189,tt0335266
Catch Me If You Can,9.2,"Great Direction, Great Acting (Great to Incredible from Leonardo DiCaprio, Great to Incredible from Tom Hanks, Great to Incredible Acting from Christopher Walken, Good from the rest of the cast), Incredible Story (Stays pretty true to the source material), Great Screenplay (Filled with foreshadowing), Good Score, Pacing was great up until the final like 20 minutes (probably could have cut it down to 10), The build to the climax was incredible as the standoff scene between Leo and Hanks really showed both actor's best in displaying the anxiety and fright in the situation. Overall, a great film that is one of the most entertaining films to watch as it is a thrill of a ride to see all the different scams Frank Abagnale was able to pull off from the very start to the very end, something that really keeps you engaged at all times.",2002,05/24/2021,190,tt0264464
Tropic Thunder,9.1,"Great Direction, Very Good to Great Acting (Incredible from Robert Downey Jr., Very Good from the rest of the cast), Great Story (Extremely funny story that is effective satire to a core), Very Good Screenplay (Filled with jokes that are reeks of 00s esque comedy but still very funny and quotable), Plot Structure was simple with very cheesy plot cliches yet still effective at mocking hollywood and oscars, Pacing was good, Build to climax was very good. Overall, a movie that is iconic for its edgy humor and star studded cast that was able to mock and make fun of the oscars so much that they could build an oscar campaign for RDJ, and actually get him a nomination (something legendary in itself).",2008,05/26/2021,191,tt0942385
Brokeback Mountain,9.5,"Incredible to Brilliant Direction (Both on a macro scale with the subjects in vast shots, and on a micro scale with interpersonal dialogue), Great to Incredible Acting (Incredible from Heath Ledger, Incredible from Jake Gyllenhaal, Very Good to Great from the rest of the cast), Incredible Story (though a bit confusing on passage of time), Incredible Screenplay (Beautiful), Great Score (Molded well to the emotions of the characters and the beauty of the scenes), Incredible Cinematography (Able to capture the beauty of both the landscapes and how the leads were able to escape and find love there), Plot Structure was consistent; Runtime was fine but there were definitely scenes that could have been cut to make it a bit shorter, Pacing was fine but it was very confusing on what scenes took place in what year cause it jumps a lot (even showing it subtly would have helped), There isn't that much of a climax (More of a build to a shock and reaction?). Overall, a very beautiful movie (both in scenery and acting/dialogue) that is one of the best depictions of falling in love I have ever seen, as the two lead male characters have to escape to a beautiful seclusion to show their true love for each other, something society won't let them do.",2005,05/27/2021,192,tt0388795
Mystic River,9.4,"Great to Incredible Direction, Great Acting (Incredible from Sean Penn, Great to Incredible from Tim Robbins, Very Good to Great from the rest of the cast), Incredible Story (especially how it analyzes the effects of trauma on an individual), Great Screenplay (With incredible moments and questionable moments), Decent Score, Good Editing, Plot Structure was very good as there are two parallel stories to try and look for the killer (Though the development of Kevin Bacon's character was a bit confusing on how it was presented), Pacing was on the slower side but pretty good overall; runtime was decent (but there were definitely scenes that could be cut as they were unnecessary, bout like 10-15 minutes worth), The build to the climax was great with the climax being incredible as well as the falling action and finding out the true story of the killing; the resolution was kinda poor and not carried out well, One of the best portrayals of trauma and grief I have ever seen carried out. Overall, a Great to Incredible movie that is one of the best presentations on the effects loss and trauma can have on people as the leads try to come to terms with what they have experienced, all symbolized in an very well carried out murder mystery.",2003,05/28/2021,193,tt0327056
The Spongebob Squarepants Movie,9.9,The embodiment and magnum opus of Spongebob Squarepants that has some of the happiest and saddest moments (You know the scene) witnessed during my childhood,2004,05/28/2021,194,tt0345950
Ex Machina,8.7,"Great Direction (Like the stylistic choices he made by interweaving the scenic shots/sets with the character's dialogue), Good Acting (Pretty Good from Domhnall Gleeson, Very Good from Oscar Isaac, Very Good from Alicia Vikander, Good from the rest of the cast), Great Story (Shows the effects of AI and actually putting trust into cognizant automata), Very Good to Great Screenplay (While the movie was pretty spot on with some of the technical jargon/ideas, it also definitely forced in a lot of buzz words that no programmer/software engineer would ever say), Great to Incredible use of the score in how it blended with the mood/feelings the audience has towards what is presented (especially when there is a heartbeat increasing to show the story becoming more tense), Great to Incredible Cinematography (espiecially how it it used the different intensities/colors of lighting to show the mood), Incredible Visual Effects (especailly for a movie with a lower budget), Incredible Production Design, Plot Structure was great, Pacing was good (Runtime was good), Build to the climax was great but the overall climax/resolution felt very off (even though the events of the movie were exactly how I expected/wanted to happen). Overall, a film that is very visually pleasing (an artsy movie that actually pulls it off very nicely) and well made that makes society question AI and how cognizant we should make Automata (definitely one of the better portrayals of this phenomenon), even if the film blows it more out of proportion/exaggerates the extent/ideas behind it.",2014,05/30/2021,195,tt0470752
The Sixth Sense,8.3,"Good Direction (especially in the horror parts), Pretty Good to Good Acting (Very Good from Haley Joel Osment, ), Good Story, Good Screenplay (Some great aspects/iconic lines and some mediocre to decent ones), Decent Score (Very James Newton Howard-esque), Plot Structure was ok but really doesn't go anywhere, Pacing was fine (could be a bit slow at times and very rushed at others), The film really does not have any climax (will get to the 'twist' in a bit), as nothing really happens (don't want to spoil anything but there really isn't any resolution), The horror parts of the movie were very well executed and definitely showed some of M.Night's best work as the audience definitely is on the edge of their seat; the famous 'twist' at the end while iconic is filled with plot holes and is can be easily picked up when watching the movie (like I did know it but still could have picked it up if I didn't). Overall, a pretty good movie (especially for horror) that has a lot of bright moments (like Haley Joel Osment) that put me on the edge of my seat and make the movie a horror classic (putting M.Night on the map), even though it falters a lot in terms of the plot holes and lackluster moments.",1999,05/30/2021,196,tt0167404
In Bruges,8.9,"Very Good to Great Direction (Especially how he molds the classical elements with the humor and serious moments), Very Good Acting (Great from Colin Farrell, Great from Brendan Gleeson, Very Good from Ralph Fiennes, Good from the rest of the cast), Good to Very Good Story, Very Good to Great Screenplay (Very funny, politically incorrect screenplay that is great with the serious aspects as well (can be a bit repetitive but thats just the nature of the dialogue)), Great Score (Especially in how it molds well to display the classical scenery of Bruges), Pretty Bad Sound (Very overbearing at times in the movie (making it hard to pay attention to what was going on at times)), Pacing is good with runtime used effectively, The build to the climax was good and the ending was open-ended in a way that was done very well, Handles elements of grief over past actions pretty well for a comedy (though not really the best) and handles elements of purpose on heaven/hell pretty well for a comedy. Overall, a surprisingly very good to great comedy that mixes serious elements of purpose and grief very well with politically incorrect, hilarious dialogue as it goes through the lives of the two leads trying to come to terms with the actions of their past.",2008,06/03/2021,197,tt0780536
The Shawshank Redemption,9.7,"Incredible Direction, Great Acting (Great from Tim Robbins, Great from Morgan Freeman, Very Good to Great from the rest of the cast), Brilliant Story (Beautiful Story that looks at the effects Prison has on a man), Brilliant Screenplay (Mixed with symbolism that drives the narrative forward), Very Good to Great Score, Great Cinematography (Especially for how it was used as a tool to display symbolism), Good Editing, Plot Structure was good cause even though the passage of time was not that evident it helped add to the symbolism of losing life and sense of time in prison, Pacing was a bit on the slower side but consistent throughout; Runtime was used effectively even though it was a bit long because every scene is used effectively (very few scenes could be cut), The climax/twist was executed very effectively and shows the extent in which characters had to go to proclaim their freedom, Emotions and mood were executed effectively because you really care for the subjects/scenes of the movie. Overall, an incredibly beautiful story on the effects prison has on men (especially innocent men) as they have to come to terms with their lives as they are stripped away from their freedom and have to continue to find hope even though the system keeps on trying to strip it away from them (something that makes you care for the subjects and makes you cheer and cry for them); moreover, the film is 1/3 of the trio of 1994 that is the embodiment of cinema before that year (given by the story telling and feel of the movie being from the 50s-60s).",1994,06/05/2021,198,tt0111161
The Godfather,9.6,"Incredible to Brilliant Direction, Great to Incredible Acting (Brilliant from Marlon Brando, Incredible from Al Pacino, Great to Incredible from James Caan, Great to Incredible from Robert Duvall, Great from Diane Keaton, Great from Talia Shire, Very Good to Great from the rest of the cast), Incredible to Brilliant Story (though its storytelling is a bit confusing), Brilliant Screenplay (Mixed with the nuances of subtly and symbolism), Great Score, Incredible Cinematography (uses Sound/Cinematography/Film Editing to really show the mood of the scenes and emotions of the characters), Incredible Sound (see Cinematography), Incredible Editing (See Cinematography), Plot Structure was good and unexpecting (considering I did not expect how the turns of the story went the way they did), Pacing was slow and steady; Runtime was log but it is hard to take out/cut any scenes because each scene feels like it is important to the story, The build to the climax was great with the final moments of the movie being amazing and full of symbolism, The Michael Corleone Story was incredible in showing how an outsider of the family could never escape the life made for him (even though he tried really hard to never be a part of it). Overall, and Incredible Movie that stands up to being 'One of the best movies ever made' as it is the definition of subtly and symbolism (helping drive the story forward and influencing the characters decisions/emotions) in a movie as Coppola delivers a magnum opus not only in his career but for the whole film industry (something that others have tried to learn from).",1972,06/10/2021,199,tt0068646
